VSF,Count
14.05,218
12.97,217
13.04,217
13.32,217
13.35,216
13.34,215
13.4,215
13.75,215
14.15,215
13.69,214
12.78,213
13.18,213
13.36,213
12.59,212
12.92,212
13.43,212
13.61,212
13.25,211
13.33,211
15.08,211
13.08,210
13.57,210
13.95,210
13.38,208
13.83,208
13.31,207
13.59,206
13.73,206
13.78,206
13.19,205
13.45,205
13.85,205
13.93,205
13.94,205
14.27,205
14.46,205
12.94,204
13.29,204
13.42,204
13.58,203
13.79,203
14.14,203
14.17,203
14.5,202
14.21,201
13.49,200
13.8,200
13.86,200
13.99,200
12.9,199
14.36,199
13.41,198
13.84,198
14.04,198
14.12,198
14.16,198
14.37,198
13.71,197
13.96,197
14,197
13.2,196
13.51,196
13.67,196
13.91,196
14.19,196
14.07,195
14.73,195
14.1,194
14.26,194
14.47,194
13.77,193
14.23,193
14.31,193
14.95,192
13.39,191
13.88,191
14.43,191
14.59,191
14.71,191
13.62,190
14.03,190
14.33,190
14.38,190
14.7,190
13.15,189
13.74,189
14.41,189
13.63,188
13.66,188
14.01,188
15.43,188
13.68,187
14.25,187
14.92,187
13.92,186
14.3,186
14.55,186
14.63,186
14.66,186
15.14,186
15.15,186
14.2,185
14.32,185
14.61,185
14.83,185
14.52,184
14.77,184
14.08,183
14.09,183
14.11,183
14.28,183
14.51,183
14.62,183
14.65,183
14.69,183
15.03,183
14.13,182
14.48,182
15.6,182
13.97,181
14.85,181
15.01,181
14.02,180
14.75,180
15.07,180
14.42,179
14.45,179
13.52,178
14.53,178
14.67,177
14.72,177
14.89,177
15.09,177
15.22,177
13.47,176
14.24,176
14.29,176
14.56,176
14.58,176
14.99,176
15.3,176
16.27,176
14.57,175
14.87,175
14.68,174
15.28,174
14.64,173
14.9,173
15.05,173
14.4,172
15.27,172
14.18,171
14.76,171
15.16,171
14.97,170
15.35,170
15.4,170
14.22,169
15.7,169
13.82,168
14.44,168
14.91,168
15.61,168
14.82,167
15.1,167
15.12,167
14.8,166
14.88,166
14.93,166
15.11,166
14.35,165
14.96,165
14.49,164
14.86,164
14.39,163
14.81,163
14.84,163
14.6,162
15.02,162
15.26,162
15.33,162
15.63,162
14.54,161
14.94,161
15,160
15.2,160
15.38,160
15.45,160
16.14,160
14.34,159
14.98,159
15.76,159
15.84,159
16.03,159
15.18,158
15.89,157
16.06,157
15.23,156
15.78,155
15.88,155
14.79,154
15.68,154
16.59,154
14.74,153
15.13,153
15.31,153
15.41,152
15.62,152
15.8,152
15.83,152
14.78,151
15.54,151
15.55,151
15.57,151
15.77,151
15.97,151
16.08,151
16.15,151
16.64,151
15.17,150
15.34,150
15.44,150
15.59,150
16.1,150
14.06,149
15.24,149
15.65,149
15.74,149
15.86,149
15.93,149
15.95,149
16.37,149
15.06,148
15.58,148
15.94,148
15.98,148
16.22,148
15.04,147
15.75,147
16.2,147
16.36,147
15.39,146
15.5,146
16.23,146
16.26,146
15.69,145
15.81,145
16.16,145
16.45,145
16.62,145
15.49,144
16.66,144
15.19,143
15.25,143
16.43,143
16.5,143
16.63,143
17.13,143
15.42,142
15.51,142
